Run Date,Brand Name,Score,Mention Count,Category,Platforms Seen,Evidence,Shopify Status,Shopify Handle,Recommended Action
2026-06-10,MIT,4.05,3,fitness,Rednote×3,"MIT Management logo visible in the lower right section of the page with text '新说在麻 MIT 这个著港湾有人可以跨过线圈' | Listed in location information: 'p2: MIT, Columbia, Princess' | MIT logo and text visible on a r",unknown,,unknown → manual check: https://mit.com
2026-06-10,Columbia,3.0,2,fitness,Rednote×2,Columbia University logo visible at the bottom of a post in the lower portion of the page | Columbia University logo visible on what appears to be an academic or institutional document in the lower ri,unknown,,unknown → manual check: https://columbia.com
2026-06-11,Lululemon,9.0,6,fitness,Rednote×6,Mentioned in the text as one of the classic popular brands for gym wear alongside Nike and Adidas | Described in text as a classic popular brand known for leggings and active wear comfort | Post menti,unknown,,unknown → manual check: https://lululemon.com
2026-06-11,Alo Yoga,3.0,2,fitness,Rednote×2,"Listed in text as 'Alo Yoga: 被称为""运动界的Miu Miu""' - a fashionable athletic brand with airlifts and styling | Alo Yoga mentioned in opening text as 'Alo Yoga: 被称为""运动界的Miu Miu""'",unknown,,unknown → manual check: https://aloyoga.com
2026-06-11,Lululemon,9.0,6,fitness,Rednote×6,Mentioned in the introductory text as a classic popular brand for gym wear alongside Nike and Adidas | 除了lulu，这4个'贵牌'运动服我也爱买！预算充足的姐妹，不要只盯着一两个牌子 | Lululemon无线Align25寸太太太完美了！自从淘了2后身lulu的瑜伽裤都有些,unknown,,unknown → manual check: https://lululemon.com
2026-06-11,Skims,3.0,2,fitness,Rednote×2,"Post titled '4个不需海淘的美国松弛风运动品牌' listing SKIMS as one of four American athletic brands, with product images | SKIMS mentioned in the bottom right post tags discussing shapewear and athletic products",unknown,,unknown → manual check: https://skims.com
2026-06-11,Alo Yoga,3.0,2,fitness,Rednote×2,"Listed as 'Alo Yoga' in the classic popular brands section, described as 'the Miu Miu of sportswear' with Airlift fabric | Alo Yoga mentioned in the header text as a seamless activewear brand with Air",unknown,,unknown → manual check: https://aloyoga.com
2026-06-11,Lululemon,12.0,8,fitness,Rednote×8,Mentioned in the introductory text as one of the classic hot products alongside Nike and Adidas for gym wear recommendations | Bottom right graphic shows 'lululemon' among listed fitness apparel brand,unknown,,unknown → manual check: https://lululemon.com
2026-06-11,Alo Yoga,7.5,5,fitness,Rednote×5,Listed under '经典热门品牌' (Classic Hot Brands) with description of their Airlift fabric sports bras and shapewear | Bottom right graphic displays 'alo' as one of the overseas fitness apparel brands featur,unknown,,unknown → manual check: https://aloyoga.com
2026-06-11,Skims,4.05,3,fitness,Rednote×3,Text visible in first post mentioning '#skims #运动背提 #运动身搭' (Skims activewear) with product photos | SKIMS/CRYOYOGA/ALO - brand mentioned alongside fitness/yoga wear | Right panel shows 'Skims' listed ,unknown,,unknown → manual check: https://skims.com
2026-06-11,CrzYoga,3.0,2,fitness,Rednote×2,Post showing 'CrzYoga 8折专场' with product listings for yoga/fitness apparel | Post shows 'CrzYoga 8折专场' with product images of athletic wear and bras being sold,unknown,,unknown → manual check: https://crzyoga.com
2026-06-11,Oner,16.65,12,"beauty, fitness",Rednote×12,Alpha Gymshark Oner都入过后 and detailed product review of Oner sports bra and shorts | -最后 Oner 只刚入一套 谈实话之前看互联网上评论我有点期待 但入了之后发得的能性上 shorts的包裹度、支撑度若都非常一般 | Oner XS-S - discussing Oner brand sports bra siz,open,oner-us,open Shopify → python scrapers/official_scraper.py --discover https://oner.com
